temp_C,source,n_wells,mu_max_mean,mu_max_std,mu_max_median,mu_max_min,mu_max_max
27,PROCESSED,27,0.44784234224222685,0.013755226917541219,0.45090591570162586,0.40752455213879757,0.4678529341873372
28,PROCESSED,32,0.3378580310520935,0.012031522339260975,0.3390538428173441,0.3115909155917638,0.3586361552917534
29,PROCESSED,38,0.39066961474459316,0.012593031930623852,0.39216778121330725,0.3593032763601378,0.414075481732741
30,PROCESSED,40,0.3537610234082108,0.03232408712566499,0.34531457723610737,0.30464300648386133,0.43188455674438153
31,PROCESSED,40,0.43829483424559906,0.01350756940382945,0.4398487779401017,0.3978053173553089,0.4661784534891886
32,PROCESSED,40,0.4564843671235382,0.015573638278909773,0.4589396943350494,0.4209756364263886,0.48758155662074176
33,PROCESSED,39,0.4524826366721487,0.018641214315335136,0.4538211427254052,0.40829027401199003,0.49422030791038296
34,PROCESSED,39,0.5000570963053722,0.01719769006073983,0.5030552293764318,0.4476538275171802,0.5275930454448856
35,PROCESSED,37,0.4986991950184045,0.025557062159648498,0.5005715455319323,0.43333320815602117,0.5515444548381828
36,PROCESSED,39,0.522133991374256,0.021150329829566807,0.5232534506578127,0.48000704345885925,0.5662339277154234
37,PROCESSED,38,0.46476489656902,0.036561026755019425,0.46969635060507564,0.3901942375287889,0.5274192254661977
38,PROCESSED,38,0.47085024885643145,0.04633794239257479,0.47954175745594096,0.3614999648401147,0.5550632294321601
39,PROCESSED,39,0.4712470868981092,0.037566928356520535,0.4639010964725496,0.39566108127294375,0.5398432778916777
40,PROCESSED,39,0.46842354111457357,0.032813156651526856,0.46630700052219876,0.39262642136466464,0.5606032572634914
41,PROCESSED,34,0.3909230622514884,0.025321649640542985,0.3941337339851509,0.32077298142093924,0.43410661090119074
42,PROCESSED,40,0.4780618062504235,0.021008216385952173,0.47918216355303617,0.4083980190536638,0.5156368524585011
43,PROCESSED,36,0.44125720379697647,0.014499250592630197,0.4436707941832193,0.41102029103983306,0.4703354776995454
44,PROCESSED,34,0.4269697276290468,0.02770825284220491,0.4304232428469711,0.3533639109145501,0.48635840436300626
45,RAW,40,0.18850033085915782,0.11783049911884849,0.22623687139593363,0.017449354175790965,0.40401161759156845
