temp_C,source,well,n_points,mu_max,t_at_mu_max_hr
29,PROCESSED,F8,138,0.4077204555144013,8.729444444
30,PROCESSED,A1,132,0.30464300648386133,9.078888889
30,PROCESSED,A2,132,0.34153285216509643,8.554722222
30,PROCESSED,A3,132,0.33495703579114716,8.554722222
30,PROCESSED,A4,132,0.32662703167502627,8.554722222
30,PROCESSED,A5,132,0.3121149266657574,8.38
30,PROCESSED,A6,132,0.3362404645335353,8.554722222
30,PROCESSED,B1,132,0.4193297420133347,8.904166667
30,PROCESSED,B2,132,0.43188455674438153,8.729444444
30,PROCESSED,B3,132,0.4212163380714954,8.729444444
30,PROCESSED,B4,132,0.425850647093977,8.729444444
30,PROCESSED,B5,132,0.41644406632815534,8.904166667
30,PROCESSED,B6,132,0.4173509996572674,8.904166667
30,PROCESSED,C1,132,0.33964188669422735,8.38
30,PROCESSED,C2,132,0.33705797210037536,8.38
30,PROCESSED,C3,132,0.35029261305370873,8.554722222
30,PROCESSED,C4,132,0.3412739415399505,8.729444444
30,PROCESSED,C5,132,0.3703127912839985,8.38
30,PROCESSED,C6,132,0.3617332331854335,8.38
30,PROCESSED,D1,132,0.3278145233351886,8.38
30,PROCESSED,D2,132,0.34729656959391114,9.603055556
30,PROCESSED,D3,132,0.3491683804334948,8.38
30,PROCESSED,D4,132,0.3404345912842093,8.729444444
30,PROCESSED,D5,132,0.3609781266557912,8.38
30,PROCESSED,D6,132,0.36510425228720095,8.554722222
30,PROCESSED,E1,132,0.3308971834598193,8.554722222
30,PROCESSED,E2,132,0.34187820712733297,8.38
30,PROCESSED,E3,132,0.330020188384202,8.729444444
30,PROCESSED,E4,132,0.3362144392370037,8.38
30,PROCESSED,E5,132,0.34696373261516666,8.38
30,PROCESSED,E6,132,0.3512848324336451,8.554722222
30,PROCESSED,E7,132,0.35627748431059447,8.554722222
30,PROCESSED,E8,132,0.31560563027261146,8.554722222
30,PROCESSED,F1,132,0.33535711902310555,8.554722222
30,PROCESSED,F2,132,0.3215474451413637,8.554722222
30,PROCESSED,F3,132,0.34143430758896565,8.554722222
30,PROCESSED,F4,132,0.3659750282943156,8.554722222
30,PROCESSED,F5,132,0.35187771116725797,8.554722222
30,PROCESSED,F6,132,0.3530005482486074,8.729444444
30,PROCESSED,F7,132,0.34366542185704807,8.554722222
30,PROCESSED,F8,132,0.34914110849686875,8.554722222
31,PROCESSED,A1,138,0.3978053173553089,7.855833333
31,PROCESSED,A2,138,0.41366037585845994,7.855833333
31,PROCESSED,A3,138,0.42855477489420546,8.554722222
31,PROCESSED,A4,138,0.44364538268336917,8.030555556
31,PROCESSED,A5,138,0.44174540977191457,8.904166667
31,PROCESSED,A6,138,0.4345506182284906,7.855833333
31,PROCESSED,B1,138,0.41735099973861367,7.855833333
31,PROCESSED,B2,138,0.42843140754401965,7.855833333
31,PROCESSED,B3,138,0.45044914378311673,8.030555556
31,PROCESSED,B4,138,0.45852703814527007,8.554722222
31,PROCESSED,B5,138,0.4519636125814023,8.38
31,PROCESSED,B6,138,0.45071119552203154,7.855833333
31,PROCESSED,C1,138,0.4291373162195955,7.855833333
31,PROCESSED,C2,138,0.42791275146994057,7.855833333
31,PROCESSED,C3,138,0.4442214273442393,7.855833333
31,PROCESSED,C4,138,0.42387188247119856,8.030555556
31,PROCESSED,C5,138,0.4430493844859227,8.38
31,PROCESSED,C6,138,0.44113072184732893,7.681111111
31,PROCESSED,D1,138,0.42867576573999333,7.855833333
31,PROCESSED,D2,138,0.43525657843376253,7.855833333
31,PROCESSED,D3,138,0.4333332082529354,7.855833333
31,PROCESSED,D4,138,0.4316955479530794,7.855833333
31,PROCESSED,D5,138,0.4586871266215681,7.855833333
31,PROCESSED,D6,138,0.4661784534891886,7.855833333
31,PROCESSED,E1,138,0.4302679969868112,7.855833333
31,PROCESSED,E2,138,0.4430315409827369,7.855833333
31,PROCESSED,E3,138,0.44050651185485346,8.030555556
31,PROCESSED,E4,138,0.4398367199178549,8.205277778
31,PROCESSED,E5,138,0.45053488810964293,8.38
31,PROCESSED,E6,138,0.44555031255048316,7.855833333
31,PROCESSED,E7,138,0.44628458990791764,8.030555556
31,PROCESSED,E8,138,0.4398608359623485,8.030555556
31,PROCESSED,F1,138,0.41761633022393485,7.855833333
31,PROCESSED,F2,138,0.4340401578167832,8.030555556
31,PROCESSED,F3,138,0.4437169716557703,8.205277778
31,PROCESSED,F4,138,0.43794008129128126,8.38
31,PROCESSED,F5,138,0.4370802100024974,7.855833333
31,PROCESSED,F6,138,0.44981565950621694,7.855833333
31,PROCESSED,F7,138,0.46008234751274846,7.855833333
31,PROCESSED,F8,138,0.43508277510712345,8.030555556
32,PROCESSED,A1,138,0.4209756364263886,7.681111111
