Time_in_hr,E2
49.61444444,0.585
49.78916667,0.585
49.96388889,0.585
50.13861111,0.583
50.31333333,0.581
50.48805556,0.584
50.66277778,0.583
50.8375,0.582
51.01222222,0.581
51.18694444,0.581
51.36166667,0.581
51.53638889,0.581
51.71111111,0.579
51.88583333,0.579
52.06055556,0.579
52.23527778,0.578
52.41,0.577
52.58472222,0.577
52.75944444,0.577
52.93416667,0.576
53.10888889,0.575
53.28361111,0.575
53.45833333,0.574
53.63305556,0.573
53.80777778,0.573
53.9825,0.572
54.15722222,0.571
54.33194444,0.571
54.50666667,0.57
54.68138889,0.57
54.85611111,0.57
55.03083333,0.568
55.20555556,0.567
55.38027778,0.568
55.555,0.568
55.72972222,0.566
55.90444444,0.566
56.07916667,0.564
56.25388889,0.564
56.42861111,0.563
56.60333333,0.562
56.77805556,0.561
56.95277778,0.562
57.1275,0.561
57.30222222,0.56
57.47694444,0.559
57.65166667,0.559
57.82638889,0.557
58.00111111,0.557
58.17583333,0.555
58.35055556,0.555
58.52527778,0.554
58.7,0.553
58.87472222,0.553
59.04944444,0.552
59.22416667,0.55
59.39888889,0.549
59.57361111,0.549
59.74833333,0.548
59.92305556,0.547
60.09777778,0.546
60.2725,0.545
60.44722222,0.544
60.62194444,0.543
60.79666667,0.542
60.97138889,0.541
61.14611111,0.54
61.32083333,0.538
61.49555556,0.538
61.67027778,0.537
61.845,0.536
62.01972222,0.534
62.19444444,0.533
62.36916667,0.532
62.54388889,0.531
62.71861111,0.529
62.89333333,0.53
63.06805556,0.528
63.24277778,0.525
63.4175,0.525
63.59222222,0.523
63.76694444,0.523
63.94166667,0.521
64.11638889,0.519
64.29111111,0.518
64.46583333,0.516
64.64055556,0.516
64.81527778,0.514
64.99,0.512
65.16472222,0.51
65.33944444,0.509
65.51416667,0.507
65.68888889,0.506
65.86361111,0.504
66.03833333,0.502
66.21305556,0.501
66.38777778,0.499
66.5625,0.498
66.73722222,0.497
66.91194444,0.495
67.08666667,0.493
67.26138889,0.492
67.43611111,0.489
67.61083333,0.488
67.78555556,0.486
67.96027778,0.485
68.135,0.483
68.30972222,0.482
68.48444444,0.481
68.65916667,0.48
68.83388889,0.478
69.00861111,0.477
69.18305556,0.475
69.35805556,0.473
69.53277778,0.472
69.7075,0.471
69.88222222,0.469
70.05694444,0.466
70.23166667,0.465
70.40638889,0.463
70.58111111,0.46
70.75583333,0.458
70.93055556,0.457
71.10527778,0.455
71.28,0.453
71.45472222,0.451
71.62944444,0.448
71.80416667,0.446
71.97888889,0.444
72.15361111,0.441
